Title,producers,winner,year,BoxOffice,Country,Director,Genre,Plot,Production,Rated,Ratings,Runtime,Year,imdbRating,imdbVotes,BAFTA,NBRA,GOLDENGLOBE,SATELLITE,DGA,tag
Boys Town,['Metro-Goldwyn-Mayer'],False,1938,N/A,USA,Norman Taurog,"Biography, Drama","Against all odds Father Flanagan starts ""Boys' Town"" after hearing a convict's story. Whitey Marsh comes there. He runs away but, hungry, returns. He runs away again but, when friend Pee Wee is hit by a car, returns. He runs away and joins his brother's gang. Flanagan and the boys capture the crooks and the reward saves the town.",MGM Home Entertainment,Passed,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",96 min,1938,7.3,"4,710",False,False,False,False,False,none
The Citadel,['Metro-Goldwyn-Mayer'],False,1938,N/A,UK,King Vidor,Drama,"Andrew Manson, a young, enthusiastic doctor takes his first job in a Welsh mining town, and begins to wonder at the persistent cough many of the miners have. When his attempts to prove its cause are thwarted, he moves to London. His new practice does badly. But when a friend shows him how to make a lucrative practice from rich hypochondriacs, it will take a great shock to show him what the truth of being a doctor really is.",MGM Home Entertainment,PASSED,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",110 min,1938,7.2,"1,567",False,True,False,False,False,none
Four Daughters,['Warner Bros.-First National'],False,1938,N/A,USA,Michael Curtiz,"Drama, Music, Romance","Adam Lemp, the Dean of the Briarwood Music Foundation, has passed on his love of music to his four early adult daughters - Thea, Emma, Kay and Ann - who live with him and his sister, the ...",Warner Brothers,APPROVED,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",90 min,1938,7.0,"1,406",False,False,False,False,False,none
Grand Illusion,"[""Realization D'Art Cinematographique""]",False,1938,N/A,Finland,Tuija-Maija Niskanen,"Drama, Romance",N/A,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",95 min,1985,4.2,24,False,False,False,False,False,none
Jezebel,['Warner Bros.'],False,1938,N/A,USA,William Wyler,"Drama, Romance","Set in antebellum New Orleans during the early 1850's, this film follows Julie Marsden through her quest for social redemption on her own terms. Julie is a beautiful and free spirited, rapacious Southern belle who is sure of herself and controlling of her fiancé Preston Dillard, a successful young banker. Julie's sensitive but domineering personality--she does not want so much to hurt as to assert her independence--forces a wedge between Preston and herself. To win him back, she plays North against South amid a deadly epidemic of yellow fever which claims a surprising victim.",MGM Home Entertainment,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",104 min,1938,7.6,"10,550",False,False,False,False,False,"Bette Davis, Oscar (Best Actress)"
Pygmalion,['Metro-Goldwyn-Mayer'],False,1938,N/A,UK,"Anthony Asquith, Leslie Howard","Comedy, Drama, Romance","The snobbish & intellectual Professor of languages, Henry Higgins makes a bet with his friend that he can take a London flower seller, Eliza Doolittle, from the gutters and pass her off as a society lady. However he discovers that this involves dealing with a human being with ideas of her own.",Criterion Collection,NOT RATED,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",89 min,1938,7.9,"6,871",False,False,False,False,False,George Bernard Shaw
Test Pilot,['Metro-Goldwyn-Mayer'],False,1938,N/A,USA,Victor Fleming,"Drama, Romance","Jim Lane is a test pilot, whose professional life is dangerous, and whose personal life compensates for that danger by fast living and recklessness. As such, he lives from paycheck to paycheck, and is often in debt, but knows his lucrative job will eventually get him out of those debts. On a coast to coast record attempt speed flight, Jim's plane, the Drake Bullet (named after the company's owner), hits some mechanical problems and Jim is forced to make an emergency landing on a farmer's field in Kansas. The farm belongs to the Barton family, whose straight talking daughter, Ann Barton, falls for Jim, and visa versa. They impulsively decide to get married and live in New York. Jim's sidekick and mechanic, ""Gunner"" Morris, doesn't know if Jim and marriage go hand in hand, both because of the type of person he is and his profession. Ann too soon learns that she plays second fiddle to Jim's work, she referring to the sky as Jim's mistress. Ann also truly comes to understand the dangers of Jim's work, he who is often required to push the planes beyond their physical limits. With each flight, Ann fears that she will become a widow, as she has seen it before with the wives of Jim's colleagues. Can Jim and Ann's marriage survive the many pressures stemming from Jim's life as a test pilot?",MGM,Passed,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",119 min,1938,6.9,"1,923",False,False,False,False,False,none
Gone with the Wind,['Selznick International Pictures'],True,1939,N/A,USA,"Victor Fleming, George Cukor, Sam Wood","Drama, History, Romance, War","Scarlett is a woman who can deal with a nation at war, Atlanta burning, the Union Army carrying off everything from her beloved Tara, the carpetbaggers who arrive after the war. Scarlett is beautiful. She has vitality. But Ashley, the man she has wanted for so long, is going to marry his placid cousin, Melanie. Mammy warns Scarlett to behave herself at the party at Twelve Oaks. There is a new man there that day, the day the Civil War begins. Rhett Butler. Scarlett does not know he is in the room when she pleads with Ashley to choose her instead of Melanie.",Loew&#39;s Inc.,Passed,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '97/100'}]",238 min,1939,8.2,"260,058",False,False,False,False,False,Civil War
Dark Victory,['Warner Bros.-First National'],False,1939,N/A,USA,Edmund Goulding,"Drama, Romance","Judith Traherne is at the height of young society when Dr. Frederick Steele diagnoses a brain tumor. After surgery she falls in love with Steele. The doctor tells her secretary that the tumor will come back and eventually kill her. Learning this, Judith becomes manic and depressive. Her horse trainer Michael, who loves her, tells her to get as much out of life as she can. She marries Steele who intends to find a cure for her illness. As he goes off to a conference in New York failing eyesight indicates to Judith that she is dying.",Twentieth Century Fox Home Entertainment,Approved,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",104 min,1939,7.6,"8,795",False,False,False,False,False,terminal illness
"Goodbye, Mr. Chips",['Metro-Goldwyn-Mayer'],False,1939,N/A,UK,"Sam Wood, Sidney Franklin","Drama, Romance","An old classics teacher looks back over his long career, remembering pupils and colleagues, and above all the idyllic courtship and marriage that transformed his life.",MGM Home Entertainment,Unrated,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}]",114 min,1939,7.8,"8,886",False,False,False,False,False,none
