Title,producers,winner,year,BoxOffice,Country,Director,Genre,Plot,Production,Rated,Ratings,Runtime,Year,imdbRating,imdbVotes,BAFTA,NBRA,GOLDENGLOBE,SATELLITE,DGA,tag
On Golden Pond,['Bruce Gilbert'],False,1981,N/A,"UK, USA",Mark Rydell,Drama,"The loons are back again on Golden Pond and so are Norman Thayer, a retired professor, and Ethel who have had a summer cottage there since early in their marriage. This summer their daughter Chelsea -- whom they haven't seen for years -- feels she must be there for Norman's birthday. She and her fiance are on their way to Europe the next day but will be back in a couple of weeks to pick up the fiance's son. When she returns Chelsea is married and her stepson has the relationship with her father that she always wanted. Will father and daughter be able to communicate at last?",Twentieth Century Fox Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",109 min,1981,7.7,"24,783",False,False,True,False,False,aging
Raiders of the Lost Ark,['Frank Marshall'],False,1981,N/A,USA,Steven Spielberg,"Action, Adventure","The year is 1936. An archeology professor named Indiana Jones is venturing in the jungles of South America searching for a golden statue. Unfortunately, he sets off a deadly trap but miraculously escapes. Then, Jones hears from a museum curator named Marcus Brody about a biblical artifact called The Ark of the Covenant, which can hold the key to humanly existence. Jones has to venture to vast places such as Nepal and Egypt to find this artifact. However, he will have to fight his enemy Rene Belloq and a band of Nazis in order to reach it.",Paramount Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '85/100'}]",115 min,1981,8.5,"798,253",False,False,False,False,False,none
Reds,['Warren Beatty'],False,1981,N/A,USA,Warren Beatty,"Biography, Drama, History, Romance","American journalist John Reed journeys to Russia to document the Bolshevik Revolution and returns a revolutionary. His fervor for left-wing politics leads him to Louise Bryant, then married, who will become a feminist icon and activist. Politics at home become more complicated as the rift grows between reality and Reed's ideals. Bryant takes up with a cynical playwright, and Reed returns to Russia, where his health declines.",Paramount Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",195 min,1981,7.4,"18,893",False,False,False,False,True,none
Gandhi,['Richard Attenborough'],True,1982,N/A,"UK, India, USA",Richard Attenborough,"Biography, Drama, History","In 1893, Gandhi is thrown off a South African train for being an Indian and traveling in a first class compartment. Gandhi realizes that the laws are biased against Indians and decides to start a non-violent protest campaign for the rights of all Indians in South Africa. After numerous arrests and the unwanted attention of the world, the government finally relents by recognizing rights for Indians, though not for the native blacks of South Africa. After this victory, Gandhi is invited back to India, where he is now considered something of a national hero. He is urged to take up the fight for India's independence from the British Empire. Gandhi agrees, and mounts a non-violent non-cooperation campaign of unprecedented scale, coordinating millions of Indians nationwide. There are some setbacks, such as violence against the protesters and Gandhi's occasional imprisonment. Nevertheless, the campaign generates great attention, and Britain faces intense public pressure. Too weak from World War II to continue enforcing its will in India, Britain finally grants India's independence. Indians celebrate this victory, but their troubles are far from over. Religious tensions between Hindus and Muslims erupt into nation-wide violence. Gandhi declares a hunger strike, saying he will not eat until the fighting stops. The fighting does stop eventually, but the country is divided. It is decided that the northwest area of India, and eastern part of India (current day Bangladesh), both places where Muslims are in the majority, will become a new country called Pakistan (West and East Pakistan respectively). It is hoped that by encouraging the Muslims to live in a separate country, violence will abate. Gandhi is opposed to the idea, and is even willing to allow Muhammad Ali Jinnah to become the first prime minister of India, but the Partition of India is carried out nevertheless. Gandhi spends his last days trying to bring about peace between both nations. He thereby angers many dissidents on both sides, one of whom finally gets close enough to assassinate him.",Columbia Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",191 min,1982,8.1,"205,242",True,True,False,False,True,India
E.T. the Extra-Terrestrial,['Steven Spielberg Kathleen Kennedy'],False,1982,N/A,USA,Steven Spielberg,"Family, Sci-Fi","After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",115 min,1982,7.9,"332,428",False,False,True,False,False,aliens
Missing,['Edward Lewis Mildred Lewis'],False,1982,N/A,USA,Costa-Gavras,"Biography, Drama, History, Mystery, Thriller","In September1973, in Chile, the American journalist Charles Horman arrives in Valparaiso with his friend Terry Simon to meet his wife Beth and bring her back to New York with him. However, they are surprised by the military coup d'état sponsored by the US Government to replace President Salvador Allende and Charles is arrested by the military force. His father Ed Horman, a conservative businessman from New York, arrives in Chile to seek out his missing son with Beth. He goes to the American Consulate to meet the Consul that promises the best efforts to find Charles while the skeptical Beth does not trust on the word of the American authorities. The nationalism and confidence of Ed in his government changes when he finds the truth about what happened with his beloved son.",Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",122 min,1982,7.8,"16,281",False,False,False,False,False,"Chile, politics, South America"
Tootsie,['Sydney Pollack Dick Richards'],False,1982,N/A,USA,Sydney Pollack,"Comedy, Drama, Romance","Michael Dorsey is an unemployed actor with an impossible reputation. In order to find work and fund his friend's play he dresses as a woman, Dorothy Michaels, and lands the part in a daytime drama. Dorsey loses himself in this woman role and essentially becomes Dorothy Michaels, captivating women all around the city and inspiring them to break free from the control of men and become more like Dorsey's initial identity. This newfound role, however, lands Dorsey in a hot spot between a female friend/'lover,' a female co-star he falls in love with, that co-star's father who falls in love with him, and a male co-star who yearns for his affection.",Columbia Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",116 min,1982,7.4,"87,959",False,False,False,False,False,men in drag
The Verdict,['Richard D. Zanuck David Brown'],False,1982,N/A,USA,Sidney Lumet,Drama,"Frank Galvin was once a promising Boston lawyer with a bright future ahead. An incident early in his career in which he was trying to do the right thing led to him being fired from the prestigious law firm with which he was working, almost being disbarred, and his wife leaving him. Continually drowning his sorrows in booze, he is now an ambulance chasing lawyer, preying on the weak and vulnerable, and bending the truth whenever necessary to make what few dollars he has, as he has only had a few cases in the last few years, losing the last four. His only friend in the profession is his now retired ex-partner, Mickey Morrissey, who gets Frank a case, his fee solely a percentage of what his clients are awarded. The case should net Frank tens of thousands of dollars by settling out of court, that money which would at least get him back on his feet. It is a negligence suit brought on behalf of Deborah Ann Kaye by her sister and brother-in-law, Sally and Kevin Doneghy, against St. Catherine Labouré Hospital, operated by the Archdiocese of Boston, and Drs. Towler and Marks. Kaye was admitted to the hospital for what should have been a routine delivery, but something that happened while Kaye was on the operating room table led to her brain being deprived of oxygen, resulting in permanent brain damage, and Kaye now being in a totally vegetative state requiring hospitalization for the rest of her life. Frank eventually learns that the cause seems to be that Dr. Towler, the anesthesiologist and an expert in the field, used the incorrect anesthetic for the situation. However, all but one person that was in the operating room that day has provided depositions that nothing improper occurred in the operating room. The one holdout is the operating room head nurse, Maureen Rooney, who is not talking, period, to Frank or the other side. Upon seeing the state Kaye is in, Frank unilaterally decides to do what he believes is the right thing by declining the lucrative out of court settlement offered by the Archdiocese and take the case to court. In doing so, he hopes the truth that the hospital and the doctors truly were negligent comes to light. Feeling that this case may be a turning point in his life, Frank has a new spring in his step, enough that he attracts the attention of Laura Fischer, the two who begin a relationship. Despite having whatever the truth is on his side, that truth which he does not know, and having an expert witness of his own, Frank has an uphill battle in that the Archdiocese has retained the services of Ed Concannon, a high priced lawyer who has a large team of associates whose task is to help Concannon and the Archdiocese win at any cost. Concannon's task seems even easier as Judge Hoyle, the presiding judge, is already biased against Frank for taking the case to court.",Twentieth Century Fox Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",129 min,1982,7.8,"31,813",False,False,False,False,False,none
Terms of Endearment,['James L. Brooks'],True,1983,N/A,USA,James L. Brooks,"Comedy, Drama","Aurora and Emma are mother and daughter who march to different drummers. Beginning with Emma's marriage, Aurora shows how difficult and loving she can be. The movie covers several years of their lives as each finds different reasons to go on living and find joy. Aurora's interludes with Garrett Breedlove, retired astronaut and next door neighbor are quite striking. In the end, different people show their love in very different ways.",Paramount Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '79/100'}]",132 min,1983,7.4,"48,677",False,False,True,False,True,none
The Big Chill,['Michael Shamberg'],False,1983,N/A,USA,Lawrence Kasdan,"Comedy, Drama","A seminal Thirty-Something movie in which a group of old college friends who are now all grown up and hardened by the big wide world come together for the funeral of Alex, a barely glimpsed corpse, who was at one time the brightest and the best of them, and yet who never managed to achieve half as much as any of the others. The friends use the occasion to reacquaint themselves with each other and to speculate as to what happened to their idealism which had been abundant when they were younger.",Columbia Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",105 min,1983,7.2,"29,651",False,False,False,False,False,none
The Dresser,['Peter Yates'],False,1983,N/A,UK,Peter Yates,Drama,"In a touring Shakespearean theater group, a backstage hand - the dresser, is devoted to the brilliant but tyrannical head of the company. He struggles to support the deteriorating star as the company struggles to carry on during the London blitz. The pathos of his backstage efforts rival the pathos in the story of Lear and the Fool that is being presented on-stage, as the situation comes to a crisis.",Sony Pictures Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",118 min,1983,7.7,"4,285",False,False,False,False,False,none
The Right Stuff,['Irwin Winkler Robert Chartoff'],False,1983,N/A,USA,Philip Kaufman,"Adventure, Biography, Drama, History","Tom Wolfe's book on the history of the U.S. Space program reads like a novel, and the film has that same fictional quality. It covers the breaking of the sound barrier by Chuck Yeager to the Mercury 7 astronauts, showing that no one had a clue how to run a space program or how to select people to be in it. Thrilling, funny, charming and electrifying all at once.",Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",193 min,1983,7.9,"51,254",False,False,False,False,False,none
Tender Mercies,['Philip S. Hobel'],False,1983,N/A,USA,Bruce Beresford,"Drama, Music",Alchoholic former country singer Mac Sledge makes friends with a young widow and her son. The friendship enables him to find inspiration to resume his career.,HBO Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",92 min,1983,7.4,"8,380",False,False,False,False,False,music
Amadeus,['Saul Zaentz'],True,1984,N/A,"USA, France, Czechoslovakia",Milos Forman,"Biography, Drama, History, Music","Antonio Salieri believes that Wolfgang Amadeus Mozart's music is divine and miraculous. He wishes he was himself as good a musician as Mozart so that he can praise the Lord through composing. He began his career as a devout man who believes his success and talent as a composer are God's rewards for his piety. He's also content as the respected, financially well-off, court composer of Austrian Emperor Joseph II. But he's shocked to learn that Mozart is such a vulgar creature, and can't understand why God favored Mozart to be his instrument. Salieri's envy has made him an enemy of God whose greatness was evident in Mozart. He is ready to take revenge against God and Mozart for his own musical mediocrity.",Warner Bros. Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '8.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '93/100'}]",160 min,1984,8.3,"331,670",False,False,True,False,True,"Mozart, Salieri"
The Killing Fields,['David Puttnam'],False,1984,N/A,UK,Roland Joffé,"Biography, Drama, History, War","Sydney Schanberg is a New York Times journalist covering the civil war in Cambodia. Together with local representative Dith Pran, they cover some of the tragedy and madness of the war. When the American forces leave, Dith Pran sends his family with them, but stays behind himself to help Schanberg cover the event. As an American, Schanberg won't have any trouble leaving the country, but the situation is different for Pran; he's a local, and the Khmer Rouge are moving in.",Warner Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",141 min,1984,7.9,"47,062",True,False,False,False,False,none
A Passage to India,['John Brabourne Richard B. Goodwin'],False,1984,N/A,"UK, USA",David Lean,"Adventure, Drama, History","Circa 1920, during the Indian British rule, Dr. Aziz H. Ahmed was born and brought up in India. He is proficient in English, and wears Western style clothing. He meets an old lady, Mrs. Moore, at a mosque, who asks him to accompany her and her companion, Adela Quested, for sight-seeing around some caves. Thereafter the organized life of Aziz is turned upside down when Adela accuses him of molesting her in a cave. Aziz is arrested and brought before the courts, where he learns that the entire British administration is against him, and would like to see him found guilty and punished severely, to teach all native Indians what it means to molest a British citizen. Aziz is all set to witness the ""fairness"" of the British system, whose unofficial motto is ""guilty until proved innocent.""",Sony Pictures Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}]",164 min,1984,7.4,"15,373",False,True,False,False,False,none
Places in the Heart,['Arlene Donovan'],False,1984,N/A,USA,Robert Benton,Drama,"Edna Spalding finds herself alone and broke on a small farm in the midst of the Great Depression when her husband the Sheriff is killed in an accident. A wandering black man, Moses, helps her to plant cotton to try and keep her farm and her kids together. She also takes on a blind boarder, Mr. Will, who lost his sight in the first World War. She must endure storms and harsh labor to try and make her mortgage payment on time.",Twentieth Century Fox Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",111 min,1984,7.4,"9,251",False,False,False,False,False,racism
A Soldier's Story,"['Norman Jewison', ' Ronald L. Schwary', ' Patrick Palmer']",False,1984,N/A,USA,Norman Jewison,"Crime, Drama, Mystery, War",A black soldier is killed while returning to his base in the deep south. The white people of the area are suspected at first. A tough black army attorney is brought in to find out the truth. We find out a bit more about the dead soldier in flashbacks - and that he was unpopular. Will the attorney find the killer ?,Sony Pictures Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}]",101 min,1984,7.2,"7,958",False,False,False,False,False,none
Out of Africa,['Sydney Pollack'],True,1985,N/A,"USA, UK",Sydney Pollack,"Biography, Drama, Romance","Follows the life of Karen Blixen, who establishes a plantation in Africa. Her life is Complicated by a husband of convenience (Bror Blixen), a true love (Denys), troubles on the plantation, schooling of the natives, war, and catching VD from her husband.",Universal Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}]",161 min,1985,7.2,"63,448",False,False,True,False,False,"adultery, Africa"
The Color Purple,"['Steven Spielberg', ' Kathleen Kennedy', ' Frank Marshall', ' Quincy Jones']",False,1985,N/A,USA,Steven Spielberg,Drama,"This film follows the life of Celie, a young black girl growing up in the early 1900's. The first time we see Celie, she is 14 - and pregnant - by her father. We stay with her for the next 30 years of her tough life...",Warner Home Video,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",154 min,1985,7.8,"70,641",False,True,False,False,True,none
Kiss of the Spider Woman,['David Weisman'],False,1985,N/A,"Brazil, USA",Hector Babenco,Drama,"Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis, a trans individual, is found guilty of immoral behavior and Valentin is a political prisoner. To escape reality Luis invents romantic movies, while Valentin tries to keep his mind on the situation he's in. During the time they spend together, the two men come to understand and respect one another.",Strand Releasing,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",120 min,1985,7.4,"12,810",False,False,False,False,False,In Netflix queue
Prizzi's Honor,['John Foreman'],False,1985,N/A,USA,John Huston,"Comedy, Crime, Drama, Romance","Charley Partanna is a hit-man who works for the Prizzis, one of the richest crime syndicate families in the country. Unbeknownst to Charley,the Prizzis just hired Irene Walker, a free-lance killer, to eliminate someone who double-crossed them. When Irene and Charley fall in love their jobs become complicated. Their jobs become impossible when each is given a contract that neither can go through with.",Fox,R,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}]",130 min,1985,6.8,"20,909",False,False,False,False,False,none
Witness,['Edward S. Feldman'],False,1985,N/A,USA,Peter Weir,"Crime, Drama, Romance, Thriller","An 8 year old Amish boy and his mother are traveling to Philadelphia, on their way to visit the mother's sister. While waiting at the train station, the young boy witnesses a brutal murder inside one of the bathroom stalls. Police detective John Book is assigned to investigate the murder of the man, who was a undercover cop. Soon after, Book finds out that he's in great danger when the culprits know about his investigation and hides out in the Amish community. There, he learns the way of living among the Amish locals, which consists of non-violence and agriculture. Book soon starts a romance with the mother of the little boy, but their romance is forbidden by the Amish standards. But, it's not long before the bad guys find out Book's whereabouts.",Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",112 min,1985,7.4,"77,532",False,False,False,False,False,Amish
Platoon,['Arnold Kopelson'],True,1986,N/A,USA,Oliver Stone,"Drama, War","Chris Taylor is a young, naive American who gives up college and volunteers for combat in Vietnam. Upon arrival, he quickly discovers that his presence is quite nonessential, and is considered insignificant to the other soldiers, as he has not fought for as long as the rest of them and felt the effects of combat. Chris has two non-commissioned officers, the ill-tempered and indestructible Staff Sergeant Robert Barnes and the more pleasant and cooperative Sergeant Elias Grodin. A line is drawn between the two NCOs and a number of men in the platoon when an illegal killing occurs during a village raid. As the war continues, Chris himself draws towards psychological meltdown. And as he struggles for survival, he soon realizes he is fighting two battles, the conflict with the enemy and the conflict between the men within his platoon.",Orion Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '92/100'}]",120 min,1986,8.1,"347,068",False,False,True,False,True,Vietnam
Children of a Lesser God,['Burt Sugarman Patrick J. Palmer'],False,1986,N/A,USA,Randa Haines,"Drama, Romance","James is a new speech teacher at a school for the deaf. He falls for Sarah, a pupil who decided to stay on at the school rather than venture into the big bad world. She shuns him at first, refusing to read his lips and only using signs. Will her feelings change over time?",Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}]",119 min,1986,7.2,"13,443",False,False,False,False,False,death penalty
Hannah and Her Sisters,['Robert Greenhut'],False,1986,N/A,USA,Woody Allen,"Comedy, Drama","Hannah, Holly and Lee are adult sisters from a show business family, their boozy actress mother who still believes she's an ingénue that can attract any man she wants, despite still being married to the girls' father, Evan. Hannah, on her second marriage to a man named Elliot, a financial advisor, is the success of the family, taking a break from her acting career to raise her children. Everyone turns to her for advice, while she never talks to others about what she needs or feels. Her first husband, Mickey, is a comedy show writer and hypochondriac, who is going through a crisis as he mistakenly believes he will die soon without a clear belief, as a non-practicing Jew, of what will happen to him in the afterlife. Single Holly is the insecure flaky sister, a struggling and thus continually unemployed actress, who has just started a catering business with her actress friend April, in order to do something constructive with her life. In her own security, Hannah even set up Holly and Mickey together following her own break-up with Mickey, Holly and Mickey's sole date which arguably was the worst night in both their lives. Holly turns to Hannah for everything in her life, including money, despite feeling Hannah overly judgmental about her failures. It's during a catering job that Holly and April meet David, an architect, who seems interested in both of them. Holly's insecurities may threaten her potential relationship with David and friendship with April. Lee, who collects unemployment, is metaphorically the family's piece of clay waiting for the right artist to mold her. She has long lived with artist Frederick, who has contempt for everyone except her, and as such relies on her for whatever his connection to the outside world. This already complex collective becomes even more complex when Elliot contemplates telling Lee that he has fallen in love with her. His attraction to her is as much feeling unneeded by Hannah, who he does not want to hurt regardless of what he decides to do with respect to Lee.",Orion Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",107 min,1986,7.9,"61,109",False,False,False,False,False,family
The Mission,['Fernando Ghia David Puttnam'],False,1986,N/A,"UK, France",Roland Joffé,"Adventure, Drama, History","Jeremy Irons plays a Spanish Jesuit who goes into the South American wilderness to build a mission in the hope of converting the Indians of the region. Robert DeNiro plays a slave hunter who is converted and joins Irons in his mission. When Spain sells the colony to Portugal, they are forced to defend all they have built against the Portuguese aggressors.",Warner Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",125 min,1986,7.5,"51,051",False,False,False,False,False,none
A Room with a View,['Ismail Merchant'],False,1986,N/A,UK,James Ivory,"Drama, Romance","When Lucy Honeychurch and chaperone Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting the Emersons could change Lucy's life forever but, once back in England, how will her experiences in Tuscany affect her marriage plans?",Cinecom Pictures,Not Rated,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",117 min,1985,7.4,"35,445",True,True,False,False,False,none
The Last Emperor,['Jeremy Thomas'],True,1987,N/A,"UK, Italy, China, France",Bernardo Bertolucci,"Biography, Drama, History","This sweeping account of the life of Pu-Yi, the last emperor of China, follows the leader's tumultuous reign. After being captured by the Red Army as a war criminal in 1950, Pu-Yi recalls his childhood from prison. He remembers his lavish youth in the Forbidden City, where he was afforded every luxury but unfortunately sheltered from the outside world and complex political situation surrounding him. As revolution sweeps through China, the world Pu-Yi knew is dramatically upended.",Columbia Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",163 min,1987,7.8,"83,757",True,False,True,False,True,none
Broadcast News,['James L. Brooks'],False,1987,N/A,USA,James L. Brooks,"Comedy, Drama, Romance","Basket-case network news producer Jane Craig falls for new reporter Tom Grunnick, a pretty boy who represents the trend towards entertainment news she despises. Aaron Altman, a talented but plain correspondent, carries an unrequited torch for Jane. Sparks fly between the three as the network prepares for big changes, and both the news and Jane must decide between style and substance.",Twentieth Century Fox Home Entertainment,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '84/100'}]",133 min,1987,7.2,"24,402",False,False,False,False,False,journalism
Fatal Attraction,['Stanley R. Jaffe Sherry Lansing'],False,1987,N/A,USA,Adrian Lyne,"Drama, Thriller","Happily married New York lawyer Dan Gallagher has an affair with his colleague Alex, and the two enjoy a love weekend while Dan's wife and kid are away. But Alex will not let go of him, and she will stop at nothing to have him for herself. Just how far will she go to get what she wants?",Paramount Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",119 min,1987,6.9,"66,262",False,False,False,False,False,adultery
Hope and Glory,['John Boorman'],False,1987,N/A,"UK, USA",John Boorman,"Comedy, Drama, Romance","A semi-autobiographical project by John Boorman about a nine year old boy called Bill as he grows up in London during the blitz of World War 2. For a young boy, this time in history was more of an adventure, a total upheaval of order, restrictions and discipline. The liberating effect of the war on the women left behind. And the joy when Hitler blows up your school.",Nelson Entertainment,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}]",113 min,1987,7.4,"11,254",False,False,False,False,False,In Netflix queue
Moonstruck,['Patrick J. Palmer Norman Jewison'],False,1987,N/A,USA,Norman Jewison,"Comedy, Drama, Romance","No sooner does Italian-American widow Loretta accept a marriage proposal from her doltish boyfriend, Johnny, then she finds herself falling for his younger brother, Ronny. She tries to resist, but Ronny lost his hand in an accident he blames on his brother, and has no scruples about aggressively pursuing her while Johnny is out of the country. As Loretta falls deeper in love, she comes to learn that she's not the only one in her family with a secret romance.",MGM Home Entertainment,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",102 min,1987,7.1,"43,005",False,False,False,False,False,New York
Rain Man,['Mark Johnson'],True,1988,N/A,USA,Barry Levinson,Drama,"Charles Sanford ""Charlie"" Babbit is a self-centered Los Angeles-based automobile dealer/hustler/bookie who is at war with his own life. Charlie, as a young teenager, used his father's 1949 Buick convertible without permission and as a result, he went to jail for two days on account that his father reported it stolen. It is then that Charlie learns that his estranged father died and left him from his last will and testament a huge bed of roses and the car while the remainder will of $3 Million goes into a trust fund to be distributed to someone. Charlie seemed pretty angry by this and decides to look into this matter. It seems as if that ""someone"" is Raymond, Charlie's unknown brother, an autistic savant who lives in a world of his own, resides at the Walbrook Institute. Charlie then kidnaps Raymond and decides to take him on a lust for life trip to the west coast as a threat to get the $3 Million inheritance. Raymond's acts and nagging, including repeated talks of ""Abbott & Costello"", ""Four minutes till Wapner"" and refusal to fly on an airline except Quantas drives Charlie insane... and out of his selfish world into a cross-country trek of pure love and understanding that these two both have.",MGM,R,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",133 min,1988,8.0,"435,800",False,False,True,False,True,autism
The Accidental Tourist,"['Lawrence Kasdan', ' Charles Okun', ' Michael Grillo']",False,1988,N/A,USA,Lawrence Kasdan,"Drama, Romance","After the death of his son, Macon Leary, a travel writer, seems to be sleep walking through life. Macon's wife, seems to be having trouble too, and thinks it would be best if the two would just split up. After the break up, Macon meets a strange outgoing woman, who seems to bring him back down to earth. After starting a relationship with the outgoing woman, Macon's wife seems to think that their marriage is still worth a try. Macon is then forced to deal many decisions",Warner Home Video,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",121 min,1988,6.8,"13,760",False,False,False,False,False,none
Dangerous Liaisons,['Norma Heyman Hank Moonjean'],False,1988,N/A,"USA, UK",Stephen Frears,"Drama, Romance","In 18th century France, the Marquise de Merteuil and the Vicomte de Valmont play a dangerous game of seduction. Valmont is someone who measures success by the number of his conquests and Merteuil challenges him to seduce the soon to be married Cecile de Volanges and provide proof in writing of his success. His reward for doing so will be to spend the night with Merteuil. He has little difficulty seducing Cecile but what he really wants is to seduce Madame de Tourvel. When Merteuil learns that he has actually fallen in love with her, she refuses to let him claim his reward for seducing Cecile. Death soon follows.",Warner Home Video,R,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",119 min,1988,7.6,"59,307",False,False,False,False,False,adultery
